int	string
ID	英文文字
id	speak
1001	什么时候才能得到小金人啊
1002	昨天差一点就获得小金人了,好可惜
1003	今天要健身减肥
1004	今天太累了,不想拍电影了
1005	今天有影迷要找我吗
1006	我拍的电影一定大卖
1007	那家伙摔倒了,很滑稽
1008	听说来了个很厉害的新人,我要恶搞一下
1009	又有人在唱歌扰民了
1010	楼上的家伙安静点
1011	谁丢的香蕉皮,希望没人看到
1012	哎呀，我摔倒了，要人扶才能起来~
1013	我的这次假摔可是奥斯卡影帝级别的
1014	大家都说我唱的比贾斯丁比伯好听
1015	今年还有99场演唱会,我会累死的
1016	我去参加好声音,就没其他选手什么事情了
1017	跟着音乐一起跳舞
1018	跟着我的节拍,再来一次
1019	我的舞姿就像天鹅
1020	如果再也不能见到你，祝你早安，午安，晚安。
1021	生活就像一盒巧克力，你永远不知道下一块会是什么味道。
1022	当你最认为困难的时候，其实就是你最接近成功的时候。
1023	你跳，我也跳
1024	加油!肯定会大卖的
1025	一往无前！
1026	为了小金人,冲啊
1101	我是谁，我在哪，我刚刚看了个啥？
1102	作为一个复仇记来说也太平淡无味了
1103	这片真是凭一己之力拉低了整个档期的评分！
1104	我的内心毫无波动，甚至有点想笑
1105	喜欢的演员和剧本本该是双份的喜悦，可…
1201	空调太冷不好睡，先走了…
1202	后悔了，把看这片的时间拿来敲代码多好
1203	你说有钱多好，我要有钱也这么拍烂片玩儿
1204	引起生理不适，举报了！
1205	没有主题，剧情混乱，不知所云
1301	无功无过，杀时间之选
1302	特效还是值回票价的
1303	大概是我近几年来看过最好的电影之一
1304	很难不去享受这么一部美好的电影
1305	网红电影，就像网红奶茶一样。
1401	我憋了整整两个多小时没舍得去上厕所！
1402	买这张电影票是我为数不多的正确选择之一
1403	非常合家欢的结局，轻松愉快，真是治愈啊~
1404	别说话，买票就对了
1405	很容易拍俗套的电影却未落俗套，Pick了
1501	啊啊啊真是太棒了我要回去疯狂安利小伙伴！
1502	如果一年只能来影院看一部电影，选它就对了！
1503	这部电影让我对国产电影重拾了信心！
1504	这片让我无法抗拒的不停回味其中情节！
1505	看的我眼眶湿润，很久没有过这种感觉了。
1601	我决定给所有同事都买票来欣赏这部神作！
1602	绝对能列入“人生必看的50部电影”之中。
1603	你体会过什么叫撼动心灵的体验吗？
1604	这片不火，天理难容
1605	看过这部电影，我此生已然无憾。
1701	这个剧本都快成我们的镇司之宝啦~ 绝对没问题！
1702	此本一出，大卖无忧~
1703	这个剧本跟我们公司的演员们的契合度已经突破天际啦，真期待这次他们又能产生怎样绚丽的化学反应！
2101	参观摄影棚的机会可不多
2102	人生如戏，全靠演技
2103	最近工作好忙，想去旅游
2104	我觉得我们的电影需要更多的特效
3101	就要看到{0}了，真激动！
3102	听说有粉丝来了
3103	呀，终于看到你了！
3104	咦，是你！上次首演我看到你了。
3105	对对对，是我是我，你竟然记得我！
3106	我记得我的每一个粉丝
3201	为了今天我特地穿了最喜欢的衣服！
3202	我的粉丝是最棒的！
3203	{0}，请接受我的鲜花！
3204	来就来嘛，怎么不多带点鲜花
3205	今天花店没打折，下次打折我多买点过来
3206	竟然要买打折货？！
3301	好激动，这次终于能看到{0}了。
3302	有种不好的感觉
3303	是我是我，你还记得我吗？
3304	不好意思不记得，你是？
3305	上次，晚上，就是我跟踪你的！
3306	啊，原来是你，保安！保安！
3401	忍不住了，我想变身！
3402	感觉到熟悉的气息
3403	qaparHa'
3404	你说啥？
3405	呀，一个不小心说出M87星语了
3406	我也是M87星的！
3501	奶奶，我就要看到你最喜欢的{0}了！
3502	今天的红酒真好喝！
3503	{0}，我奶奶说她从小就很喜欢你！
3504	啊，我有那么老吗？
3505	呸呸，我是说我奶奶看到你就像回到小时候！
3506	代我谢谢你奶奶！
3601	待会儿要怎么说呢？
3602	今天心情真好！
3603	{0}快跑，这里快要发生地震了！
3604	真的吗？那要往哪逃？
3605	跟我走，我刚找到一个很隐蔽的地窖！
3606	怎么有种不好的感觉？
3701	刚才那道题怎么解来着？
3702	头疼，今天真不舒服
3703	{0}，可以帮我一个忙吗？
3704	好的呀，你要做什么？
3705	这是我今天的家庭作业，帮我做一下呗！
3706	啊，头晕，不好意思我先撤了。
3801	能不能找到工作就看这一把了！
3802	哪个粉丝这么有眼光？
3803	{0}，我可以帮你工作吗？
3804	好的呀，你会做什么？
3805	我会吃！
3806	不好意思，这个我也会。
3901	今天天气好晴朗~
3902	好像听到谁在唱歌。
3903	{0}，我唱歌好不好听！
3904	好听好听，简直比我演唱会还棒！
3905	嘻嘻，我就知道你会这么说，虽然我也这么觉得
3906	呵呵，你开心就好！
4101	我要努力训练
4102	好累啊,不想训练了
4103	我想睡觉,不要让我训练了
4104	为了小金人,我要坚持训练
5101	你好！
5102	我喜欢你们的会议室！
5201	你开的条件我觉得有些问题！
5202	细节可以慢慢谈嘛！
5301	你开的条件太差了！
5302	这是漫天要价，你真的想谈判么？
5401	合作愉快！
5402	真高兴谈判成功！
5501	你们太没有诚意了
5502	这没什么好谈的，再见
6001	让我们猜猜{0}的获奖者会是谁
6002	获得奖项提名的有
6003	{0}
6004	{0}
6005	{0}
6006	{0}
6007	{0}
6008	我觉得{0}挺不错的
6009	我认为{0}才是最大的热门
6010	那么，最终得奖者是
6011	大屏幕即将展示得奖的艺人
6012	{0}
6013	毫无疑问只会是你
6014	{0}
6015	你是最棒的！
6016	堆特上的各位赶快转发吧！
6017	下面我们要颁发的奖项是{0}
6018	哦！很遗憾，这项奖项并没有候选者，请大家继续努力！
6019	今天的奥斯卡颁奖到此为止，谢谢大家的参与！
6020	谢谢大家！我们明天再见！
7101	欢迎大家参加{0}公司路演！我是主持人！现在路演开始，{1}将作为第一个登场的艺人！
7102	我们来看看{0}的支持率，{1}，还不错！
7103	太棒了！现场观众的热情真高！我宣布，{0}公司的路演成功！
7104	表演完了吗？感觉观众没有被完全点燃啊，我不得不宣布{0}公司的路演失败了！
7105	{0}的各位好！
7106	我们{0}影业最棒了！
7107	{0}，我爱你！
7108	我{0}的电影绝对不会让大家失望！
7109	其实我很熟悉{0}！
7110	我好喜欢{0}这座城市！
7111	山顶的朋友我想听到你们的声音！
7112	{0}的风景好漂亮！
10001	那么万众瞩目的最佳演员奖的获奖者是——{0}
10002	谢谢大家！我…
10003	一周前…
10004	咚，咚
10005	希望这个面具能给你带来帮助
10006	我很期待一个全新的你。
10007	——你的朋友
10008	回到现在…
10009	感谢大家给予我的认可。这是我获得的第一个奥斯卡…也将是最后一个。
10010	我决定把精力从演艺事业转移到我的其他兴趣上去。
10011	什么？
10012	真的吗
10013	不会吧
10014	天哪
10015	第二天
10016	没想到你会在奥斯卡典礼上抛出这么个重磅消息~
10017	确实是计划之外，哈哈~我们的开业筹备怎么样啦？
10018	很顺利哦~你呢？ 做好准备了吗？
10019	当然，我可是时刻准备着喔~
100101	居然找到我，算你是有眼光的星探
100102	我觉得包装下我，我也能成为国际巨星
100103	你来找我当明星的吗?
100104	以我的气质，我能当主演
100105	我天生就是当明星的料
100106	你说你是星探，我就信啊
100107	我对明星不敢兴趣，不要来烦我
100108	别过来，我要报警了
