int	string	int	string
id	名称备注	表情	内容
id	name	face	zh_cn_content
1	上映观众评论1	1	啊啊啊真是太棒了我要回去疯狂安利小伙伴！
2	上映观众评论2	2	这电影害我憋了整整两个多小时没舍得去上厕所！
3	上映观众评论3	3	无功无过，杀时间之选
4	上映观众评论4	4	空调太冷不好睡，先走了…
5	上映观众评论5	5	我是谁，我在哪，我刚刚看了个啥？
6	上映观众评论6	1	如果这一年只能来影院看一部电影，选这部就对了！
7	上映观众评论7	2	我这辈子做的正确的选择不多，买了这张电影票是其中之一
8	上映观众评论8	3	除了特效也没啥看点了，好在特效还算值回票价
9	上映观众评论9	4	后悔了，把看这片的时间拿来敲代码多好
10	上映观众评论10	5	我要再花钱来电影院看这种烂片就让我胖10斤！不，5斤吧…
11	上映观众评论11	1	这部电影让我对国产电影重拾了信心！
12	上映观众评论12	2	非常合家欢的结局，轻松愉快，真是治愈啊~
13	上映观众评论13	3	故事本身挺俗套的，但也没有雷点，总体不错
14	上映观众评论14	4	你说有钱多好，我要有钱也这么拍烂片玩儿
15	上映观众评论15	5	这片真是凭一己之力拉低了整个档期的评分！
16	上映观众评论16	1	我的微博朋友圈QQ群都被这片的好评刷爆了，再不看感觉天理难容
17	上映观众评论17	2	别说话，买票就对了
18	上映观众评论18	3	虽然没有亮点，但却引起了我的共鸣
19	上映观众评论19	4	引起生理不适，举报了！
20	上映观众评论20	5	我的内心毫无波动，甚至有点想笑
21	上映观众评论21	1	看的我眼眶湿润，很久没有体会过这种感觉了。
22	上映观众评论22	2	很容易拍俗套的电影却未落俗套，Pick了
23	上映观众评论23	3	网红电影，就像网红奶茶一样。
24	上映观众评论24	4	没有主题，剧情混乱，不知所云
25	上映观众评论25	5	明明是喜欢的演员和精彩的剧本，明明应该是双重的喜悦，为什么到头来却这么让人失望呢？
