int	string	string	string
ID	英文名字	英文描述	获得途径描述
id	name	tips	getway
1001	Stephen Zach	A pretty nice guy but often is a little blunt and abrupt on first meeting. But once you get to know him, you can tell he does have empathy for others.	Through Talent Agency
1002	Hunter Charles	He grew up as the son of a biker gang member. He was able to travel with his dad and see the country eventually developing an affinity for speaking to people in bars and storytelling. When he finally decided to start his own life, he turned away from the motorcycles and headed to film to continue telling stories.	Through Talent Agency
1003	Patrick Jims	A boy genius that became a biophysicist before he turned 18. Despite his sheer intellect in the biophysics field, he wanted to bring some recognition to the field outside of science. He though becoming an actor was the best way to get in touch with the general populace,	Through Talent Agency
1004	Remy Jeans	A tall man, he was often cast in roles that he didn't necessarily want to play but made his acting count. His work ethic ensured he got more work and eventually had a few big hits that put him in people's memories forever.	Through Talent Agency
1005	Yi Zhang	A girl who grew up writing her memoirs in a notebook after growing up in an abusive household. She learned that she had a way with words and that writing them down are not the only way to express them. She got into acting and now express her memoirs on screen.	Through Talent Agency
1006	Arissa Hadwell	A tough actress with a prowess for stunts and acrobatic moves. She makes complicated moves look easy and can take down a man two times her size in less than 5 seconds.	Through Talent Agency
2001	Hank Thompson	Known as one of the nicest and kindest man in Hollywood. Not a method actor but one of the best of the best. He will convince you  that he is any character he takes on, regardless if that's a hobo on an island, a CIA operator or just a man looking for love with a woman.	Through Talent Agency
2002	Ford Harris	If you're a lady looking for a gruff but classy man - he's your man. He takes roles that need to be tough in most situations but able to show his soft or romantic side in at least one or two scenes. Even as he's matured, his resume hasn't changed.	Through Talent Agency
2003	Tim Justinlake	A singer turned actor. Many people thought it would be a terrible choice but he's proved them all wrong. He's not going to win Best Actor anytime soon but he does know how to bring out the emotions in the characters he plays.	Through Talent Agency
2004	Mikky Madson	He got bored of the teaching life and moved into theater after starting his school's theater club. Ever the perfectionist, he eventually that into an acting career. With his intense character actor roles, he his single handedly revived the Danish acting industry.	Through Talent Agency
2005	Larry Jude	An actor that has starred in over a hundred movies despite only being a young adult. His good looks and sexy accent has captured the minds and hearts of many. He's quietly known as the king of rom-com.	Through Talent Agency
2006	Chelsea Maggs	One of the few actresses who have acted to try and reach something inside herself instead for the fans. Of course, she still loves her fans but she wanted to express love unfelt by acting them out deeply and truly in film.	Through Talent Agency
2007	Violet Gong	Her favorite color is read and is quite apparent from the films she's starred in. She is one of the few asian actresses who has bridged the divide between cultures and fully accepted in films that are specific to each culture.	Through Talent Agency
2008	Stan Jams	Despite his badass persona, he actually started out doing something much more gentile and sleek. He was an Olympic butterfly swimmer who quit he profession after winning his first medal. Now he embraces the badass in him to kick everyone and anyone's ass in whatever film he stars in.	Through Talent Agency
2009	Sammy Adams	An extreme goofball, he knows how to make people laugh regardless of how it happens. Some people can't stand him but they know they're going to laugh when they watch him on screen. One of the industry's comic legends.	Through Talent Agency
2010	Carlos Nicks	An actor who honestly doesn't care about winning an Oskar. He just loves acting. He'll star in everything and anything and is not ashamed of it. You may not like the movie as a whole but you'll love him in it.	Through Talent Agency
2011	Marlene Rooney	A rebellious, punk girl, she decided to run away from home to act. Covered in tattoos, it took a few tries before someone gave her the chance but now was solidified her hold in the industry. She still prefers to act in indie movies but has the talent to be mainstream actress.	Through Talent Agency
2012	Tao Oaks	She started her career as a model in Japan but really wanted to do something more active with her life. She turned to acting and decided she would specialize in roles where she can show her athletic prowess.	Through Talent Agency
2013	Dave Boyd	A very misunderstood man. He's the traditional family man, only trying to do what's best for family and country. But his stubbornness and insistence on wearing a mask often get him in trouble.	Through Talent Agency
2014	Sheldon Tale	As a kid, he was an avid gamer and mostly ignored life and friends to hide in his own world. But after a friend forced him back out into the world, he discovered his fear of the world was silly and actually was pretty good at connecting with people. He turned to cosplay and is now acting part-time.	Through Talent Agency
2015	Greta Eves	Usually described as punk because of the way she chooses to dress, she is actually is quite low-key and non-provocative. She chooses roles she likes and sticks with those.	Through Talent Agency
3001	Wolf Wiemayer	Once the top bodybuilder in the entire world, he began acting despite his rough German accent. His sheer strength and camera presence has propelled him into the top of stardom. He also aspires to have a political career.	Through Talent Agency
