int	string	string	string	int	DTItemNum[]	int
编号	发件人	名称	描述	头像	普通奖励	期待奖励
id	zh_cn_from	zh_cn_name	zh_cn_description	icon	reward	expect
1001	商务合伙人	上映电影提成	本期的票房提成因贵公司的公司等级达到{level}，有了少许增加。	7301	9001:2	3
1002	展会承办人	商业赞助	由于公司的公司等级超过{level}，由合作伙伴手里得到如下赞助。	7302	9001:2	4
1003	借款人	偿还借款	因贵公司粉丝数达到{fans}，我们决定优先偿还贵公司的欠款	7303	9001:2	5
1004	学校校长	学生参观	我校认为实地参观公司等级达到{level}的公司能激发学生的动力，希望能允许我校学生前往观摩	7304	9001:2	6
1005	粉丝会会长	粉丝支持	我们是公司的粉丝，特地前来支持	7305	9001:2	7
1006	电影协会	协会奖励	因为贵公司等级达到{level}，可以领取以下行业奖励	7306	9001:2	3
1007	合作伙伴	商业分成	与贵公司合作一直非常愉快，特地送上一些礼物	7307	9001:2	4
1008	电影协会	鼓励奖	贵公司最近表现优异，希望可以再接再厉	7308	9001:2	5
1009	周边店店主	意外发现	最近清理店铺发现一些东西，你们应该会喜欢	7309	9001:2	6
1010	商务合伙人	生意利润	最近谈成一笔小生意，这些礼物希望喜欢	7310	9001:2	7
1011	借款人	偿还借款	因贵公司等级达到{level}，我们决定优先偿还贵公司的欠款	7311	5002:1	4
1012	借款人	偿还借款	最近经济比较宽裕，可以先偿还部分欠款	7312	5002:1	5
1013	学校校长	学生参观	我校认为实地参观粉丝数达到{fans}的公司能激发学生的动力，希望能允许我校学生前往观摩	7313	5002:1	6
1014	粉丝会会长	粉丝支持	最近我们又多了很多粉丝，这是他们表示的支持	7314	5002:1	7
1015	电影协会	粉丝奖励	因为贵公司粉丝达到{fans}，可以领取以下行业奖励	7301	6:35	5
1016	电影协会	政府奖励	最近政府鼓励电影拍摄，这是赠送的礼物	7302	6:38	6
1017	神秘赞助人	神秘赞助	我们收到一笔神秘赞助，目前还不知道对方是谁	7308	6:40	7
1018	商务合伙人	上映电影提成	本期的票房提成因贵公司的粉丝达到{fans}，有了少许增加。	7309	6:45	5
1019	商务合伙人	新的合作机会	最近接到一个新的合作机会，这是对方预付的诚意金	7304	6:50	6
1020	商务合伙人	打压对手	在上次打压对手的行动中，我们收获了这些东西	7305	6:55	7
