int	string
提示ID	提示内容-中文
id	notice
-1	重复操作
0	没问题
1	未知错误
2	正在尝试重新与好莱坞取得通讯…
3	哎呀，您的网络似乎出了点小状况喔！
4	玩家等级不足
5	玩家VIP等级不足
6	功能未开启
7	重复操作
8	玩家街区档位不足
9	密码错误
10	账号未注册
11	账号重名
1000	您好像进入了一片没有网络连接的荒野呢…
1001	未生效
1002	连接中断，导演大人请检查一下网络哦~
1003	据说，好的网络连接是好心情的开端哦！
2001	找不到任务
2101	无效的物品
2102	该物品无法出售
2103	物品不足
2104	物品不能合成
2105	物品不能合成艺人
2106	该物品无法使用
2201	找不到商品
2202	货币不足
2203	已达到购买上限
2204	当前无法购买
3002	没有开启上一层
3003	没有开启当前层
3004	公司等级不足
3005	没有占领指定城市
3006	无效的房间
3007	房间已经存在
3008	房间不存在
3009	前置建筑没有开启
3010	没有这个房间类型
3011	房间已经达到最大等级
3012	艺人数量达到上限
3013	雪藏的艺人数量达到上限
3014	查探CD冷却时间
3015	查探次数限制
3016	没有这个艺人
3017	没有发现这个艺人
3018	这个艺人已经过期
3020	最大等级限制
3021	赠送资产次数限制
3022	赠送资产等级不匹配
3023	赠送资产数量限制
3024	艺人已经被雪藏
3025	没有这个技能
3026	技能没有激活
3027	经验不足
3028	体力不足
3029	培养次数限制
3030	名字不合法
4001	名字长度过长
4002	名字不能是数字
4003	名字不能有空格
4004	改名字新旧名字相同
4006	该名字已被注册
4101	解锁头像扣除资源不足
4102	头像未解锁不能更换
4103	头像不存在
4104	头像性别不对
4105	头像已经购买
4201	剧本搜罗次数不足
4202	剧本搜罗时间未到
4203	剧本消耗资源不足
4204	随机不到剧本
4205	找不到该剧本
4206	街区等级不足
4207	未找到剧本组
4208	未达成条件或者已经领取
4301	宣传代言人不满足要求
4302	未找到该城市的资料
4303	该街道的宣传进度满了
4304	该城市的宣传进度未满
4305	路演失败
4306	该城市街区未全部宣传完成
4308	未找到城市信息
4309	未找到玩家信息
4310	设置艺人位置错误
4311	vip等级不足
4312	该艺人条件不满足
4313	未设置总部不能领取奖励
4314	前置城市未解锁
4315	未找到建筑信息
4401	未找到该电影的信息
4501	未找到该订单的信息
4502	缺少订单信息
4503	放入的物品不符合要求
4504	重复放入物品
4505	放入的物品不足
4506	该订单已经过期
4507	该订单已经删除
4601	该生产线已经解锁过
4602	前置生产线未解锁
4603	建筑等级不满足要求
4604	未找到该生产线的信息
4605	生产达到上限
4606	该生产线达到上限了
4607	该生产线物品还未生产出来
4608	该生产线不能升级
4609	该技能不存在
4610	该技能已经达到最大等级
4611	该生产线不能派艺人
4612	该艺人不符合要求
4613	该生产线上没有生产物品
4614	仓库满
4615	艺人繁忙
4701	未找到该公务的信息
4702	公务时间不足刷新
4801	未找到该次探班的信息
4802	上次探班还没结束
4803	冷却中
4804	还未开始探班
4805	过期
4901	未找到该宝箱
4902	已经领取过
4903	进度未达到
5001	该兑换码制定用户可用
5002	找不到该兑换码
5003	该兑换码不在使用期限内
5004	服务器错误
5005	已使用
5101	已经加价过
5102	时间未到
5201	未找到七日签到的信息
5202	过期
5203	已经获取过
5301	未找到秘书的信息
5302	还未拥有秘书权利
5303	已经领取过
5304	申请的领取许可证未领取
5305	当日申请达到上限
5306	请先申请
5501	每周合作次数达到上限
5502	请求太频繁
5503	自己不能合作自己
5504	已经有合作对象了
5505	对方已经有合作对象了
5506	未找到此次合作的信息
5507	不在申请列表中
5508	不能领取奖励
5509	未找到合作任务的信息
5510	该合作任务不存在
5511	合作任务隔日更新
5512	上个星级任务还有未完成的
5513	次数不足
5514	已经在该玩家申请列表里了
5515	还没有公开邀请
