int	int	int	string	int	int	int	int	int	int	int[]	int[]	string
角色id	剧本id	角色序号	角色名称	角色类型|n|(2101：主角|n|2102：男主角|n|2103：女主角|n|2104：配角|n|2105：男配角|n|2106：女配角|n|2107：反派）	角色类型图片（0：儿童，1：女，2：男）	角色性别要求|n|（0：无要求|n|1101：女|n|1102：男）	角色国籍要求|n|（0：无要求|n|1201：美国|n|1202：欧洲|n|1203：亚洲）	表演类型|n|（0：无要求|n|1401演技派|n|1402偶像派）	年龄类型|n|（0：无要求|n|1501青春型|n|1502成熟型）	角色擅长类型需求（property表1901-1949）	剧本属性需求（1601：场面  |n|1602：表演  |n|1603：剧情  |n|1604：艺术  |n|1605：娱乐 ）	角色介绍
id	story_id	character_num	zh_cn_name	type	type_pic	sex	country	show_type	age_type	tags	effect	zh_cn_introduction
1001	1001	1	巴克	2103	1	1101	1202	0	1501	1902;1920;1943;1904;1922	1601;1602	退伍老兵巴克（主角）是一支特种兵的领队，其麾下云集了克里斯（主角）和杰伊（配角）等一众高手，这天，一位神秘雇主L（主角）联系到巴克，雇用他们前往一座私人小岛去解决一个名叫尼克（反派）的商业巨亨。
1002	1001	2	神秘雇主L	2102	2	1102	1201	1402	0	1934;1937;1910;1907;1926	1602;1605	退伍老兵巴克（主角）是一支特种兵的领队，其麾下云集了克里斯（主角）和杰伊（配角）等一众高手，这天，一位神秘雇主L（主角）联系到巴克，雇用他们前往一座私人小岛去解决一个名叫尼克（反派）的商业巨亨。
1003	1001	3	克里斯	2104	2	0	0	0	0	1920;1930;1943;1901;1928	1601;1603	退伍老兵巴克（主角）是一支特种兵的领队，其麾下云集了克里斯（主角）和杰伊（配角）等一众高手，这天，一位神秘雇主L（主角）联系到巴克，雇用他们前往一座私人小岛去解决一个名叫尼克（反派）的商业巨亨。
1004	1002	1	杰伊	2102	2	1102	0	0	1501	1902;1928;1903;1942;1901	1601;1602	退伍老兵巴克（主角）是一支特种兵的领队，其麾下云集了克里斯（主角）和杰伊（配角）等一众高手，这天，一位神秘雇主L（主角）联系到巴克，雇用他们前往一座私人小岛去解决一个名叫尼克（反派）的商业巨亨。
1005	1002	2	尼克	2104	2	0	0	1401	0	1910;1901;1934;1907;1921	1603;1605	退伍老兵巴克（主角）是一支特种兵的领队，其麾下云集了克里斯（主角）和杰伊（配角）等一众高手，这天，一位神秘雇主L（主角）联系到巴克，雇用他们前往一座私人小岛去解决一个名叫尼克（反派）的商业巨亨。
1006	1002	3	阿尔	2104	2	0	0	0	0	1901;1928;1907;1934;1931	1601;1605	小镇男孩阿尔（主角）的父亲在集市上买回了一匹小马——乔（主角），阿尔与乔一同长大，然而好景不长，战争开打，乔被作为战马征用，依次被军官（配角），农夫与女孩拥有，但它一直在寻找的是阿尔，阿尔也一直在寻找着它。
1007	1003	1	乔	2102	2	1102	0	0	0	1901;1907;1934;1910;1926	1601;1602	小镇男孩阿尔（主角）的父亲在集市上买回了一匹小马——乔（主角），阿尔与乔一同长大，然而好景不长，战争开打，乔被作为战马征用，依次被军官（配角），农夫与女孩拥有，但它一直在寻找的是阿尔，阿尔也一直在寻找着它。
1008	1003	2	军官	2101	2	0	0	0	0	1949;1901;1907;1934;1926	1603;1601	小镇男孩阿尔（主角）的父亲在集市上买回了一匹小马——乔（主角），阿尔与乔一同长大，然而好景不长，战争开打，乔被作为战马征用，依次被军官（配角），农夫与女孩拥有，但它一直在寻找的是阿尔，阿尔也一直在寻找着它。
1009	1003	3	麦克	2104	2	0	0	0	0	1919;1926;1925;1907;1911	1603;1605	战场上的节节败退让士兵麦克（主角）心灰意冷，为了再见情人艾琳（主角），他逃离军营踏上归家路，而艾琳在父亲去世后生活也十分艰难，在农村女孩妮娜的帮助下，艾琳渐渐适应了艰苦的生活并一直期待麦克的归来。 麦克终于回到了家乡，可没有享受多久重逢的喜悦，他就在与强盗克莱登的决斗中被杀害…
1010	1003	4	艾琳	2104	2	0	0	0	0	1919;1926;1925;1907;1911	1601;1604	战场上的节节败退让士兵麦克（主角）心灰意冷，为了再见情人艾琳（主角），他逃离军营踏上归家路，而艾琳在父亲去世后生活也十分艰难，在农村女孩妮娜的帮助下，艾琳渐渐适应了艰苦的生活并一直期待麦克的归来。 麦克终于回到了家乡，可没有享受多久重逢的喜悦，他就在与强盗克莱登的决斗中被杀害…
