int	string	string
ID	名称	说明
id	name	tip
100	生产纪念品	随便生产一些带有我们商标的纪念品，赚取少量绿钞
101	飞船模型	经常在银河战争中出现的飞船，最新研究的激光发射器使其具备无与伦比的攻击力
102	魔法杖	这根魔法杖的使用者只有两种结局，统一大陆或者死于非命，而今，它来到你的身边……
103	笔记本电脑	贵重的的社会精英用品，身份的象征
104	鸭舌帽	曾经是一个残疾奥运会选手的最爱，感觉多洗两次就掉色了
105	破损头盔	它的主人是凭借一人之力拯救198名队友的医疗兵
106	丛林部落雕像	胡博士相信这个雕像能给予他极佳的运气，每当遇到危险他的第一反应都是保护这个雕像
107	盾牌	七国时期著名大将蒙梭的盾牌，陪伴他打过无数战斗
108	匕首	史上最大银行劫案“三亿英镑大劫案”的罪犯在实施犯罪时所使用的匕首
109	黑色宽檐帽	最强特工008的宽檐帽，具有GPS定位、无线信号接收、窃听器等功能……当然是不存在的
110	对讲机	拥有照明、点火、太阳能充电、防水等功能，灾难来临时的必备用品，就是不能通话
111	日记本	主角童年使用的日记本同款，或许你也能从自己的抽屉里找到
112	小丑鞋	小孩看到它都想穿在脚上玩
113	拳套	每个细节都还原了武术天才曾经用过的拳套
114	心型气球	见证过无数情侣的结合，将世间最动人的瞬间铭记在此
115	唱片机	可以无数遍重听那首洗脑神曲
116	白手套	体验和主角一样的恐慌、无助，只是你不需要解谜来获得钥匙
117	面具	每个戴上这个面具的人，都将获得那个恐怖的名字
118	玩偶	Q版而充满童真，看到的人都想捏一捏
