int	string	string
id	观众名称	评价内容
id	name	content
1	李磊	除去特效不知道还有什么看头，剧情零分
2	韩美	年度失望，不懂为何好评如潮
3	小明	属于看时激动，看完越想越没意思的那种
4	小张	没有实质性的内容的剧本是朽木不可雕也
5	老王	这电影，要不是女主角小姐姐！我早就看不下去了
6	赵华	不知道说了些什么，只记得依偎在谁的肩膀
7	宋浅	电影主题太散，转折生硬没有铺垫，观影全程一脸懵逼，看完影评也没明白好在哪里…
8	高仁	观影过程就好比是做了一个噩梦…
9	小红	不知道除了主题曲和1块多钱的特效还剩下些什么
10	付芬	非常一般，也不觉得剧本好，被安排的戏剧冲突过于刻意，整个事件的逻辑支撑十分怪异，人物不真实
11	李磊	看完只有一个感想，你们的预算都花在预告片上面了吧！所有精彩部分都集中在预告片了……
12	韩美	看完前10分钟，扪心自问一次；看完30分钟后，再扪心自问一次；看到结尾，还想扪心自问，发现胸口都扪青了……
13	小明	所有的人物都是处心积虑的虚构产物，毫无真诚度可言
14	小张	片尾像屏保，正片啥也没记住
15	老王	我们不但拍出了超过熔炉的电影，还上演了超过熔炉的惨剧
16	赵华	就没人敢说不好看吗
17	宋浅	野心很大，水平一般，荒诞感远不如预期，演员表演也比预想差
18	高仁	导演有多努力拍片我不知道，他有多努力想骗走我口袋里的血汗钱我算是领教了
19	小红	这片简直让我失去了对电影的信仰
20	付芬	从第70分钟开始想跪着看完
21	李磊	电影通常很难超越文学，但这次大概超过了
22	韩美	我大概是失了智才会来看这片
23	小明	我还在回味台词，每一句台词都被表达得恰到好处，不过分渲染，不过分低调，一切都感觉刚刚好
24	小张	哗众取宠的电影，没什么内涵
25	老王	上帝造人才花了7天，为什么你们拍部烂片要花那么久？
26	赵华	剧情太尴尬了…啊啊但是里面的小姐姐我都好喜欢啊
27	宋浅	一个关于寻找自我的故事，我并不太喜欢
28	高仁	一部没太大感觉的公认神片，拍的的确是很真实，但或许是我口味重了点
29	小红	毫无亮点
30	付芬	电影讲啥我不在乎，只要看我爱豆的颜就够了
31	李磊	这是拿万花筒拍的吧？特效太过绚丽反而盖过了整部影片本身内容了
32	韩美	如果这是哲学层面的探讨，那么它过于浅陋低级；如果这是借悬疑嫁接阶级矛盾，那么它又错漏百出。把这样的电影奉为神作，和把病句等同于诗句是差不多的意思。
33	小明	影评比电影好看
34	小张	要哭了，每个友邻都是五星好评，而我羞愧地半路睡着了…就感觉故事蛮老套的，那些让人嗨的点，心里只是“哦”了一下
35	老王	内心波澜不惊，没有一丝触动
36	赵华	和想象的一模一样，无功无过，正确到无聊。所有人都在谈论演技，没错，演技很好，但除此之外也别无长处
37	宋浅	拍得稍有点刻意了，不是那种看完想二刷三刷的作品
38	高仁	观影期间大概哭了5、6次，因为没带纸巾就任凭眼泪流到脖子，看完电影去洗手间打算补妆，居然发现脸一点都没花！
39	小红	电影看到一半，老婆说下雨了要我回家收衣服，我拔腿就溜了
40	付芬	5分钟的故事拍成2小时，四五个人看完都这种感觉
41	李磊	无论怎么去夸赞这部电影的优点，但其实际上依旧被牢牢钉死在那个沿袭多年的框架中，或有意或无意，不敢越雷池半步
42	韩美	留白让故事具有多层解读空间且细思极恐，镜头语言优雅迷人，调度更是流畅高级，一切都是无可挑剔的完美
43	小明	还行，但没有很精彩
44	小张	喜欢这个类型，剧情真不错
45	老王	格局很小，气势很宏大，剧情也很简单，然而讲的很复杂
46	赵华	构思不错，剧情一般，打动不了我
47	宋浅	有点儿可惜，不够顺滑
48	高仁	看完，蛮有感触，心里凉飕飕，我喝的水一直很咸
49	小红	半夜走出影院，竟然久违地下起了密雨
50	付芬	虽然人物有些脸谱化，但要表达的内容还是有的
51	李磊	的确不错，值得推荐
52	韩美	看得喘不上来气儿，里面的男孩子都真好看啊
53	小明	格局太小，故事太碎；气氛绝佳，表演不错
54	小张	不错耶，超出预期！
55	老王	还是内句话，故事没有什么新鲜的，只有表达故事的语言才是新鲜的。除了空调太冷，观影过程很愉快
56	赵华	不错，年轻的导演，制作精良，演的不错，剧情也挺有意思的
57	宋浅	刚刚在墨西哥待了半个月的我，看完电影，又开始想念她了
58	高仁	很文学的处理，拥有小说般的叙述技巧，就电影表现技巧而言也很有导演的个人风格
59	小红	喜欢开头和结尾，中间有点尴尬
60	付芬	当我们拥抱时，电影院里下起了雨
61	李磊	剧情紧凑，内容环环相扣，很优秀了
62	韩美	各人执各人的念，各人流各人的血，各人寻得各人的救赎
63	小明	伟大的人物，伟大的表演
64	小张	有点意思，题材新颖，剧情不枯燥，演员演技也很好！
65	老王	配乐荡气回肠，画面也美到窒息
66	赵华	套路也没惊喜，但依然感动
67	宋浅	编剧的脑洞开得还是挺有创意的，题材觉得挺新鲜的
68	高仁	年度最佳，好看到我语无伦次
69	小红	每个对话都写得结结实实的，所有人物都有几层立体的面相
70	付芬	特别好，好到不知道怎么写评论。羡慕编剧能写出这样的人物，这样的故事，这样的剧本
71	李磊	太精彩了，实在想不到今年还有什么影片可以挑战。剧情音乐节奏摄影都接近满分！
72	韩美	意料之外，很有冲击力的剧情
73	小明	我的情绪和观点在这100分钟里不停地翻转和颠覆！
74	小张	极简的故事，极动人的细节…
75	老王	剧情很有张力，所有情节看似意料之外，实在情理之中，值得慢慢品味
76	赵华	邻座的女孩哭倒在我怀里...啊电影多么美妙！
77	宋浅	好看，有剧情，能引人入胜，看了两遍了都
78	高仁	很感人的一部片子，音乐，场景各方面都很不错
79	小红	居然是今年目前为止观感最好的院线电影，逻辑什么的都不重要，最关键的是…太甜了，太甜了啊！
80	付芬	剧情很厉害，看的过程中紧张的喘不过气来，演员表达能力也很强
81	李磊	这可能就是传说中的好故事吧，看似一切都在按照套路推进，但之后剧情随便翻几翻，就能赋予故事强大的情感力量
82	韩美	堪称史诗的一部作品
83	小明	太出乎意料了，完全不按常理出牌，是很少见的毫无套路的电影
84	小张	又预定奥斯卡了，拍这么好看简直是犯罪
85	老王	非常良心的一部电影，主演非常棒，眼熟，但是不知道叫啥
86	赵华	我心目中的最佳影片提名！全片大小人物演技集体在线
87	宋浅	喜欢这样的片子，让人沉浸其中，积极思考，故事性很强很完整
88	高仁	一想到要离开影院，我就伤心欲绝，所有的奇迹都会消失殆尽
89	小红	一环接一环，情节紧凑，看的非常过瘾！结尾引人深省
90	付芬	杰出的，足以载入史册的电影
