int	string	int	int	string	float	float	string
id	观众名称	观众性别	头像图片	备注	评分下限	评分上限	评价内容
id	zh_cn_name	sex	pic	tips	min_score	max_score	zh_cn_content
1		1	7301	20分观众1	0	20	除去特效不知道还有什么看头，剧情零分
2		1	7302	20分观众2	0	20	年度失望，不懂为何好评如潮。
3		2	7320	20分观众3	0	20	属于看时激动，看完越想越没意思的那种。
4		2	7321	20分观众4	0	20	没有实质性的内容的烂剧本是朽木不可雕也。
5		1	7303	20分观众5	0	20	这电影，要不是女主角小姐姐！我早就看不下去了。
6		1	7304	20分观众6	0	20	不知道说了些什么，只记得依偎在谁的肩膀
7		2	7322	20分观众7	0	20	电影主题太散，转折生硬没有铺垫，观影全程一脸懵逼，不知道自己看了个啥，特意看了影评不明白为啥这么受肯定
8		1	7305	20分观众8	0	20	观影过程就好比是做了一个噩梦……
9		2	7323	20分观众9	0	20	不知道除了主题曲和1块多钱的特效还剩下些什么
10		1	7306	20分观众10	0	20	非常一般，也不觉得剧本好，被安排的戏剧冲突过于刻意。整个事件的发生以及后续延展的推动力的逻辑支撑十分怪异，人物不真实。
11		1	7307	30分观众1	20	30	看完只有一个感想，你们一半的预算都花在剪辑预告片上面了吧！所有精彩部分都集中在预告片了……
12		1	7312	30分观众2	20	30	看完前10分钟，扪心自问一次；看完30分钟后，再扪心自问一次；看到结尾，还想扪心自问，发现胸口都扪青了……
13		2	7331	30分观众3	20	30	所有的人物都如此面目可憎，让人厌恶。都是处心积虑的虚假复杂性的悲催虚构产物。毫无真诚度可言。
14		2	7329	30分观众4	20	30	片尾像屏保，正片啥也没记住。
15		1	7311	30分观众5	20	30	我们不但拍出了超过熔炉的电影，还上演了超过熔炉的惨剧。
16		1	7315	30分观众6	20	30	就没人敢说不好看吗。
17		2	7326	30分观众7	20	30	野心很大，水平一般，荒诞感远不如预期。演员表演也比预想差
18		1	7316	30分观众8	20	30	导演有多努力拍片我不知道，他有多努力想骗走我口袋里的血汗钱我算是领教了
19		2	7327	30分观众9	20	30	这是什么垃圾？我相信一定是我个人瞎了而已，呵呵。
20		1	7319	30分观众10	20	30	从第70分钟开始想跪着看完。
21		1	7311	40分观众1	30	40	电影通常很难超越文学，但这次大概超过了。
22		1	7318	40分观众2	30	40	我大概是失了智才会来看这片
23		2	7320	40分观众3	30	40	我还在回味台词，每一句台词都被表达得恰到好处，不过分渲染，不过分低调，一切都感觉刚刚好，这很好。
24		2	7321	40分观众4	30	40	哗众取宠的电影，没什么内涵
25		1	7303	40分观众5	30	40	上帝造人才花了7天，为什么你们拍部烂片要花那么久？
26		1	7304	40分观众6	30	40	剧情太尴尬了……啊啊但是里面的女的我都好喜欢啊
27		2	7322	40分观众7	30	40	一个关于寻找自我的故事，我并不太喜欢
28		1	7317	40分观众8	30	40	一部没太大感觉的公认神片，拍的的确是很真实，但或许是我口味重了点
29		2	7323	40分观众9	30	40	毫无亮点。
30		1	7306	40分观众10	30	40	电影讲啥我不在乎，只要看我爱豆的颜就够了
31		1	7312	50分观众1	40	50	这是拿万花筒拍的吧？特效太过绚丽反而盖过了整部影片本身内容了。
32		1	7308	50分观众2	40	50	如果这是哲学层面的探讨，那么它过于浅陋低级；如果这是借悬疑嫁接阶级矛盾，那么它又错漏百出。把这样的电影奉为神作，和把病句等同于诗句是差不多的意思。媚雅比媚俗更加恶心
33		2	7328	50分观众3	40	50	影评比电影好看。
34		2	7331	50分观众4	40	50	要哭了，每个友邻都是五星好评，而我羞愧地半路睡着了……就感觉故事蛮老套的，那些让人嗨的点，心里只是“哦”了一下。
35		1	7309	50分观众5	40	50	内心波澜不惊，没有一丝触动。
36		1	7310	50分观众6	40	50	和想象的一模一样，没有哪怕一丝一毫的错误和问题，也没有一丝一毫的惊喜和旁逸斜出。正确到无聊。所有人都在谈论演技，没错，演技很好，除了演技，电影也就没什么了。个人偏好对这类东西真是激不起兴趣。
37		2	7328	50分观众7	40	50	拍得稍有点刻意了。不是那种看完想二刷三刷的作品。
38		1	7311	50分观众8	40	50	观影期间大概哭了5、6次，因为没带纸巾就任凭眼泪流到脖子，看完电影去洗手间打算补妆，居然发现脸一点都没花！
39		2	7327	50分观众9	40	50	电影看到一半，老婆说下雨了要我回家收衣服，我拔腿就溜了
40		1	7313	50分观众10	40	50	5分钟的故事拍成2小时，四五个人看完都这种感觉
41		1	7311	60分观众1	50	60	无论怎么去夸赞这部电影的优点，但其实际上依旧被牢牢钉死在那个沿袭多年的框架中，或有意或无意，不敢越雷池半步。
42		1	7302	60分观众2	50	60	留白让故事具有多层解读空间且细思极恐，镜头语言优雅迷人，调度更是流畅高级，一切都是无可挑剔的完美。
43		2	7320	60分观众3	50	60	还行，但没有很精彩
44		2	7321	60分观众4	50	60	喜欢这个类型，剧情真不错
45		1	7318	60分观众5	50	60	格局很小，气势很宏大，剧情也很简单，然而讲的很复杂。
46		1	7317	60分观众6	50	60	构思不错，剧情一般，打动不了我。
47		2	7322	60分观众7	50	60	有点儿可惜，不够顺滑。
48		1	7305	60分观众8	50	60	看完，蛮有感触，心里凉飕飕，我喝的水一直很咸
49		2	7323	60分观众9	50	60	半夜走出影院，竟然久违地下起了密雨。
50		1	7319	60分观众10	50	60	虽然人物有些脸谱化，但要表达的内容还是有的
51		1	7316	70分观众1	60	70	的确不错，值得推荐。
52		1	7317	70分观众2	60	70	看得喘不上来气儿，里面的男孩子都真好看啊。
53		2	7331	70分观众3	60	70	格局太小，故事太碎。气氛绝佳，表演不错。
54		2	7328	70分观众4	60	70	不错耶，超出预期！
55		1	7311	70分观众5	60	70	还是内句话，故事没有什么新鲜的，只有表达故事的语言才是新鲜的。除了空调太冷观影过程很愉快
56		1	7310	70分观众6	60	70	不错，年轻的导演，制作精良，演的不错。剧情也挺有意思的。
57		2	7326	70分观众7	60	70	刚刚在墨西哥待了半个月的我，看完电影，又开始想念她了。
58		1	7315	70分观众8	60	70	很文学的处理，拥有小说般的叙述技巧，就电影表现技巧而言也很有导演的个人风格
59		2	7327	70分观众9	60	70	喜欢开头和结尾，中间有点尴尬
60		1	7312	70分观众10	60	70	当我们拥抱时，电影院里下起了雨
61		1	7311	80分观众1	70	80	剧情紧凑，内容环环相扣，很优秀了
62		1	7316	80分观众2	70	80	各人执各人的念，各人流各人的血，各人寻得各人的救赎。
63		2	7330	80分观众3	70	80	伟大的人物，伟大的表演。
64		2	7321	80分观众4	70	80	有点意思，题材新颖，剧情不枯燥，演员演技也很好！
65		1	7303	80分观众5	70	80	配乐太过荡气回肠，画面也美到窒息。
66		1	7315	80分观众6	70	80	套路也没惊喜，但依然感动。
67		2	7322	80分观众7	70	80	编剧的脑洞开得还是挺有创意的，题材觉得挺新鲜的。
68		1	7317	80分观众8	70	80	年度最佳，语无伦次
69		2	7323	80分观众9	70	80	每个对话都写得结结实实的，所有人物都有几层立体的面相。
70		1	7306	80分观众10	70	80	特别好。好到不知道怎么写评论。羡慕能写出这样的人物，这样的故事，这样的剧本。
71		1	7317	90分观众1	80	90	太精彩了，实在想不到今年还有什么影片可以挑战。剧情音乐节奏摄影都接近满分！
72		1	7318	90分观众2	80	90	意料之外，把握当下。很有冲击力的剧情
73		2	7324	90分观众3	80	90	我的情绪和观点在这100分钟里面不停地翻转和颠覆！
74		2	7330	90分观众4	80	90	极简的故事，极动人的细节…
75		1	7309	90分观众5	80	90	剧情很有张力，所有情节看似意料之外，实在情理之中，值得慢慢品味。
76		1	7310	90分观众6	80	90	邻座的女孩哭倒在我怀里啊电影多么美妙！
77		2	7326	90分观众7	80	90	好看，有剧情，能引人入胜，看了两遍了都。
78		1	7319	90分观众8	80	90	很感人的一部片子，发展，音乐，场景各方面都很不错
79		2	7327	90分观众9	80	90	居然是今年目前为止观感最好的院线电影，逻辑什么的都不重要，最关键的是……太甜了啊，太甜了啊！
80		1	7312	90分观众10	80	90	剧情很厉害，看的过程中喘不过气来，演员表达能力也很强。
81		1	7318	100分观众1	90	100	这可能就是传说中的好故事吧，看似一切都在按照套路推进，但之后剧情随便翻几翻，就能赋予故事强大的情感力量。
82		1	7315	100分观众2	90	100	堪称史诗的一部作品。
83		2	7320	100分观众3	90	100	太出乎意料了，完全不按常理出牌，是很少见的毫无套路的电影
84		2	7321	100分观众4	90	100	又预定奥斯卡了，拍这么好看简直是犯罪。
85		1	7314	100分观众5	90	100	非常良心的一部电影，主演非常棒，眼熟，但是不知道叫啥
86		1	7304	100分观众6	90	100	十星。奥斯卡预定，最佳影片大热，最佳提名。全片大小人物演技集体在线。
87		2	7330	100分观众7	90	100	喜欢这样的片子，让人沉浸其中，积极思考，故事性很强很完整
88		1	7316	100分观众8	90	100	一想到要离开影院，我就伤心欲绝，所有的奇迹都会消失殆尽。
89		2	7323	100分观众9	90	100	一环接一环，情节紧凑，看的非常过瘾。结尾引人深省。
90		1	7306	100分观众10	90	100	杰出的，足以载入史册的电影。
