int	string
id	说话内容
id	content
1001	Who's your choice of best actor?
1002	Nomination for this award:
1003	{0}
1004	{1}
1005	{2}
1006	{3}
1007	{4}
1008	I think {0} is the most powerful contender for this award!
1009	{2} wining this award is what everyone wants!
1010	The final winner is
1011	The winner's name on the big screen is…
1012	{5}
1013	I know it!
1014	{0}
1015	I always have faith in you!
1016	Awesome! The amount of retwitter on this news is increasing madly!
2001	Now it comes to the best actress award!
2002	Nomination for this award:
2003	{0}
2004	{1}
2005	{2}
2006	{3}
2007	{4}
2008	This award is definitly going to {0}
2009	It's simply impossible that {2} is not the winner
2010	The final winner is
2011	The winner's name on the big screen is…
2012	{5}
2013	There's no doubt
2014	{0}
2015	Totally deserve it!
2016	I am even more excited than winning the award myself!
3001	Now let's pay our attention to best performance movie!
3002	Nomination for this award:
3003	{0}
3004	{1}
3005	{2}
3006	{3}
3007	{4}
3008	The competition is tight
3009	The light of {3} is too dazzling, other companies are not opponents at all.
3010	We have no possibility to lose!
3011	The final winner is
3012	The winner's name on the big screen is…
3013	{5}!
3014	Yeah! That's right!
3015	{0}
3016	Let's enter next part!
3017	We're the headline today!
4001	Which movie will win the best art movie?
4002	Nomination for this award:
4003	{0}
4004	{1}
4005	{2}
4006	{3}
4007	{4}
4008	{0} should probably be the biggest winner tonight
4009	I think {2} is the best match for this award.
4010	The final winner is
4011	The winner's name on the big screen is…
4012	{5}
4013	OMG!!!
4014	{0}
4015	This is the right choice!
4016	This movie is terrific! Highly recommended!
5001	Which movie will win the most popular movie?
5002	Nomination for this award:
5003	{0}
5004	{1}
5005	{2}
5006	{3}
5007	{4}
5008	I believe my own choice!
5009	No one can defeat {3}!
5010	I'm starting to worried…
5011	The final winner is
5012	The winner's name on the big screen is…
5013	{5}!
5014	Great!
5015	{0}
5016	Okay let's continue…
5017	No matter who you are, as long as you like this movie, we are good friends for a lifetime!
