int	int	string	string	string	int	string
属性ID	字段类型	字段名称	英文名称	中文名称	图标|n|调用Avatar表格ID	描述
id	type	field	enName	zh_cn_name	icon	tip
1	17	normal	normal	一般		电影收益等级
2	17	good	good	良好		电影收益等级
3	17	big_sell	big_sell	大卖		电影收益等级
4	17	great_sell	great_sell	超级大卖		电影收益等级
5	17	myth_sell	myth_sell	神话		电影收益等级
6	17	marvel_sell	marvel_sell	传奇		电影收益等级
1101	1	lady	Female	女	6001	
1102	1	man	Male	男	6002	
1201	2	usa	US	北美	6003	
1202	2	europe	EU	欧洲	6004	
1203	2	asia	AS	亚洲	6005	
1301	3	1	1	1	6006	剧本，演员，物品的星级
1302	3	2	2	2	6006	剧本，演员，物品的星级
1303	3	3	3	3	6007	剧本，演员，物品的星级
1304	3	4	4	4	6007	剧本，演员，物品的星级
1305	3	5	5	5	6008	剧本，演员，物品的星级
1306	3	6	6	6	6009	剧本，演员，物品的星级
1401	4	skilled	Skilled	演技派	6038	
1402	4	idol	Idol	偶像派	6039	
1501	5	young	Young	青春型	6040	
1502	5	mature	Mature	成熟型	6041	
1601	6	spectacle	Spectacle	场面	6010	
1602	6	perform	Perform	表演	6011	
1603	6	plot	Scenario	剧情	6012	
1604	6	art	Art	艺术	6013	
1605	6	entertainment	Entertainment	娱乐	6014	
1701	7	War	War	战争片		
1702	7	Sci-Fi	Sci-Fi	科幻片		
1703	7	Modern	Modern	现代片		
1704	7	Inspirational	Inspirational	励志片		
1705	7	Crime	Crime	犯罪片		
1706	7	Fantasy	Fantasy	奇幻片		
1707	7	Espionage	Espionage	谍战片		
1708	7	Adventure	Adventure	冒险片		
1709	7	Epic	Epic	古装片		
1710	7	Disaster	Disaster	灾难片		
1801	8	Heroic	Heroic	英雄		
1802	8	Supernatural	Supernatural	神鬼		
1803	8	Ethical	Ethical	伦理		
1804	8	Romance	Romance	浪漫		
1805	8	Historical	Historical	历史		
1806	8	Spacial	Spacial	太空		
1807	8	Eschatological	Apocalypse	末世		
1808	8	Revenge	Revenge	复仇		
1809	8	Gangster	Gangster	警匪		
1810	8	Art	Art	艺术		
1811	8	Monster	Monster	怪兽		
1812	8	School	School	校园		
1813	8	Political	Political	政治		
1814	8	Robot	Robot	机器人		
1815	8	Time Travel	Time Travel	穿越		
1816	8	Road	Road	公路		
1817	8	Gunfire	Gunfire	枪战		
1818	8	Racing	Racing	飙车		
1819	8	Medieaval	Medieaval	宫廷		
1820	8	Legendary	Legendary	传奇		
1901	9	Soldier	Soldier	军人		
1902	9	Young Adult	Young Adult	青春		
1903	9	Clever	Clever	机灵		
1904	9	Attractive	Attractive	高颜值		
1905	9	Playboy	Playboy	花花公子		
1906	9	Artist	Artist	艺术家		
1907	9	Strong	Strong	强壮		
1908	9	Student	Student	学生		
1909	9	Nobility	Nobility	贵族		
1910	9	Leader	Leader	领导者		
1911	9	Criminal	Criminal	罪犯		
1912	9	Clergy	Clergy	神职人员		
1913	9	Superpowers	Superpowers	超能力		
1914	9	Police	Police	警察		
1915	9	Tycoon	Tycoon	大亨		
