int	string	string
角色id	角色名称	角色介绍
id	name	introduction
1001	Katrina Konrad	Katrina owns a bar in Bavaria that had become a rest house for some of the German troops. She has been helping the Allies secretly during this time.
1002	Jacko Villink	Jacko Villink is an undercover agent for the Allies in Germany. He has been sent to uncover a special map, key to the allies plan to end the war.
1003	Drago Vesilli	Drago Vesilli is a German, army captain who frequents Katrina's bar to escape the stress of war. He senses something is off when Jacko enters the bar.
1004	Edward Vanson	Edward is a kind, loving man raised by strict religious parents. When war breaks out, he decides he needs to protect his family and home.
1005	Sergeant Jones	Sergeant Jones is a hardened, straight-edge soldier. When he is tasked with training Edward into a useful recruit, his beliefs are challenged.
1006	Carl Browl	Carl is simple man sent to the beaches of France to fight the enemy. He teaches Edward the ropes when they are placed in the same unit.
1007	Butch Dale	Butch Dale is a Vietnam veteran with a chip on his shoulder. Down on his luck, he is ready to do whatever it takes to put his life back on track.
1008	Willis McGreen	Willis McGreen spent time back in Vietnam. Instead of trying to adjust to civilian life, he has been fighting around the globe for years since.
1009	Captain Morse	Captain Morse is a career marine not afraid to say what he thinks whenever he wants to.
1010	Mark Pruns	Mark Pruns have been surviving in South American jungles for the last 20 years. He knows how to live off the land and does what it takes to survive.
1011	Matteo Bonanzo	Matteo Bonanzo is a Peruvian general who has been fighting a revolution for the last 40 years. He has recently acquired a weapon of mass destruction.
1012	Nickis Carnage	Nicki's has been smuggling weapons for his entire career. He sees himself as a simple vendor and not responsible for the chaos his weapons cause.
1013	Jenna Ethel	Jenna Ether is Nick's girlfriend and doesn't know what he does for a living. As the truth starts slipping through the cracks, she questions their relationship.
1014	Attiba Maruk	Attiba is a young revolutionary focused on creating a better world for him, his family and the entire region which is on the brink of war.
1015	Eros Johnson	Eros is the rookie CIA agent send on Nicki's' case. Little does he know that this lead will lead him to a worldwide network of corruption.
1016	Boris Mitznev	Boris has plenty of money and no problem eliminating enemy targets. He doesn't need to do the dirty work with his own hands, but prefers to.
1017	Otto Diskreto	Despite his wealth, Otto deeply cares about the suffering of others. He wants to help as many people as possible.
1018	Louisa Shuvy	Louisa is a teenage Jewish worker at Otto's factory. She was orphaned when her parents were taken to a camp.
1019	Heinrich Vimmler	Heinrich Vimmler is an SS officer with a deep hatred of other people and cultures. He is a tiny, vindictive man with nothing to live for.
1020	Sergeant Ranke	Sergeant Ranke just finished another war with his squad hoping to take a break from the killing to get back to his old life when Mrs. Lion calls him.
1021	Private Lion	Private Lion is a typical middle America farm boy thrust in the middle of the war of nations. He is the last son of nine alive.
1022	Private Josephs	Private Josephs is the squad clown, always quick with a joke and a smoke. He's happy as long as he's with the squad.
1023	Private Smiggs	Private Smiggs just wants to go home. He's not happy when Sergeant Ranke asks him to go a special mission. But he can't say no.
1024	Private Tennucci	Private Tennuci is an Italian-American soldier who misses his mother's spaghetti a whole lot.
1025	Kenneth Star	Kenneth is a British soldier who wishes he never left home. He must be ready to give it all if he wants to make it home.
1026	William Eding	William is a hunter who has decides to go with his brother to save their countrymen. He will use his rifle skills to protect stranded soldiers.
1027	Edward Eding	Edward is taken along with his brother to help sail their boat after William convinces him that they need to go protect their brethren.
1028	Timothy Senders	Timothy loves animals more than anything. When he experiences war, he cannot handle the death that surrounds him. Only animals can give him hope.
1029	The Horse	The horse has seen horrors no animals should, but remains a noble and loyal beast.
1030	Sergeant Haynes	Sergeant Haynes knows this war is madness but must persevere for the crown. He is threatened by Tim's compassion but learns to embrace it.
1031	Kellyann Matard	Kellyann grew up rich but enjoyed shooting guns. but now finds herself on the run from an enemy army. A chance encounter will determine her fate.
1032	Grant Keys	Grant Keys is a union officer with a mean streak. When he encounters a lady in distress, he is compelled to be a better person.
1033	Vasily Zaitsev	Vasily is a young Russian recruit sent on his first mission fighting for the Red Army. He will soon show his prowess with a rifle.
1034	Ludmila Graboz	Ludmila is a fierce woman fighting for the Red Army. A great shot, she hates the Nazis with a passion.
1035	Comrade Potemkin	Comrade Potemkin is in charge of the Red Army unit tasked with defending Stalingrad. He is fiercely patriotic but worried about his soldiers.
1036	Vladimir Jeltz	Vladimir is a simple farm boy and Vasily's best friend. He dreams of the day he will go home to his wife.
1037	Major Koeninger	Major Koeninger is an evil Nazi and the best sniper Germany has to offer. He will soon be challenged beyond his expectations.
1038	Brady Flynn	Brady is an Iraq war veteran who rarely talks about his feelings or memories. He will soon discover that pushing it down is not a good solution.
1039	Katie Flynn	Katie is Brady's wife. She grew up troubled but found someone who accepted her when she met Brady. But she soon finds out that the war changed him.
1040	Jonas Hurite	Jonas Hurite is a young man that went to war with Brady. However, since coming home from the war, they both have had a hard time adjusting.
1041	Cade Riteous	Cade is Brady's friend from before the war. He is put in an awkward situation when he's invited to watch football with family tensions running high.
1042	Jenny Hurite	Jenny is Jonas' cheerleader girlfriend. She doesn't know what drama will ensue when she goes to her boyfriend's friend's house for an evening.
1043	Benny Hart	Benny is a pilot and eager to fight. When the war ends on his doorstep, he decides he has to go into the fight.
1044	Jake Morelio	Jake and Benny enlist together but when Benny is shot down, Jake has to deal with the guilt of surviving and helping his friends family.
1045	Liv Miller	Liv is distraught when Benny is shot down. She blames Jake for the whole ordeal thinking he was the one who convinced him to go to war.
1046	Kieran Goods	Kieran is a navy cook longing for a good fight. When the Japanese attack, he leads his junior officers into the fray.
1047	Scott Daily	Scott is just a tourist checking out the dino safari when a giant predator breaks through a fence and destroys his day.
1048	Dr. Liz Roy	Liz Roy is a paleontologist specializing in carnivorous beasts. She never thought she would come face to face with the animals she studied.
1049	Dr. Mura Soul	Mura Soul is a doctor and a dinosaur nut. He becomes a man of action when the dinosaurs break loose despite his initial demeanor.
1050	Diamondeye	One of the dinosaurs that has learned to trust a few humans. He decides to defend the humans instead of his own kind.
1051	Kim Bee	Kim is a devoted father who tries to save his daughter from the zombie apocalypse by boarding a train to a secret military base.
1052	Hyu Bee	Hyu is Kim's daughter. Naïve and innocent, she struggles to cope with what is happening around her.
1053	Mikey Lee	Mikey just lost his family to the dead. After seeing a father and daughter struggle to survive in the outbreak - he decides he must protect them.
1054	Carl Bonz	Scared to lose his life, Carl is willing to do whatever it takes to survive. Even if it means sacrificing children to the zombies.
1055	Jake Star	Jake is a rich boy reluctantly on a trip to America with his parents to start a new business. He perks up when he sees a pretty girl in the crowd.
1056	Kathy Bland	Kathy is a poor girl from England who wins his ticket on the ship of dreams through a poker game. Little does she know how much her life will change.
1057	Gary Rocketz	Gary was just buying groceries for himself and his wife when the fog hit. He lived a hard life and just wants to live with his high school sweetheart.
1058	Hannah Fields	Hannah is a single mom whose main worry in life is her daughter. She would do anything to make sure she is safe including put others at risk.
1059	Brody Fritz	Brody is an ex-soldier who is back in his hometown trying to live a quiet life when something supernatural seems to be killing all its residents.
1060	John Bully	John is a brilliant pilot with a huge weakness. He has depression and sometimes get angry when his past is brought up.
1061	Doris Mayhem	Doris is John's wife and wants the best for him. If only he would listen.
1062	Phil Spencer	Phil Spencer is a copilot and notices something is wrong with John during the flight. Is he brave enough to step in?
1063	Trevor Rico	Trevor is a normal beat cop that is faced with a major disaster that lands right in the river outside his home.
1064	Gerard Fons	Gerard has lived with his mom his entire life. When she passes away, he does not know how to cope with the loneliness.
1065	Sophie Norin	Sophie is Gerard's first victim. He picks her because she remind him of his mother. But can he go through with it?
1066	Detective Slurp	Detective Slurp is one of the toughest cops in town and he means business. He will stop at nothing to catch the killer.
1067	Billy Fons	Billy is Gerard's son who tries to ignore the deranged tendencies of his father but as a pre-teen he can't help but start forming his own opinions.
1068	Dick Durz	Dick is the fiercest warrior on the 7th sector. When the invasion begins, he is the only hope for people to survive.
1069	Adrathi Baruk	Adrathi is an expert mechanic with incredible intelligence. She can make a device in less than 10 minutes.
1070	Gumbo Corley	Gumbo is the best pilot the sector has ever seen. If a ship needs flying, he's the guy to do it.
1071	Dillon Pith	Dillon is a doctor who was part of the team tasked with curing cancer. When his creation mutates into a virus, he feels responsible for fixing it.
1072	Roofus	Dillon's only companion for many years - man's best friend. Roofus in an expert at taking down zombies and surviving.
1073	Jenna Smiles	Another one of the few survivors near Dillon's city. Although attractive, Jenna's only interaction with him is to trade.
1074	Gunther Munk	Gunther is a zombified human ravaged by the virus. He loves eating flesh and hates sunlight.
1075	Drew Mustang	Drew is an expert fisherman who has sailed the seas his whole life. He has a deep hatred for sharks and has been fighting them his whole life.
1076	Carl String	Carl is an experienced sea captain with a beautiful boat. He loves sailing rough seas especially.
1077	Gordon Burrows	Gordon is a police officer distraught by the shark attacks that have been ravaging the town lately.
1078	Siggy Waves	Siggy Waves is a space trucker with a confident outlook. She does what it takes to get the job done and is used to traveling through space.
1079	Spreature	The spreature is an alien life form never before seen by likes of the human crew. Is it friend or foe?
1080	Sidney Luna	Sidney is a ship pilot who was kicked out of the armed fleet for being reckless. Space trucking suits him perfectly.
1081	Fredric Jones	Fredric is a kind-hearted man who longs for nothing more than to return to his home planet and to see his wife.
1082	Brad Mitt	Brad is a reporter who travels the world looking for answers to what started the zombie apocalypse.
1083	Snippy Murk	Snippy is a government official tasked with rebuilding society following the zombie infection.
1084	Tyra Lane	Tyra is a construction worker turned army grunt. When the zombie apocalypse hit, she made her way home to find her town destroyed.
1085	Wilford Astute	A middle classes, all he wants to do is bridge the gaps between the classes. Little does he know its been manufactured to be that way.
1086	Justin Take	Justin Take is a poor 3rd class passenger who just wants to live a good life. The rich passengers are preventing him to do that.
1087	Lister Daniels	Lister is a 3rd class man who desperately wants to get back at the passengers in the upper classes.
1088	Cray Meyers	Cray is the train's despot, dictator and ruler - although he does it from the shadows. Only when Wilford starts making waves does he show his face.
1089	Michael Neel	Michael is the jock of the group. A talented football player, he is muscular, sexy and cute.
1090	Bobby Rammip	Bobby has a crush on Domi. He is an intelligent man with a lot going for him. Does he have what it takes to seduce Domi?
1091	Domi Strange	Domi is the full package. She is smart, beautiful and fun to be around. She is easy to flirt with but hard to be in a relationship with.
1092	Daniela Donf	Daniela is Domi's best friend. She is the hot girl and loves teasing the boys. She enjoys attention more than anything.
1093	Charles Chaff	Charles has just moved to the big city from his small hometown. He desperately needs a job but can't seem to fit in.
1094	Josephine Crole	Josephine is the local girl who works at the market. She always has a kind smile ready for someone in need of comfort.
1095	Nick Cone	Nick is Charlie's best friend. A busy office manager, he feels the stress of modern life crushing him but doesn't know how to escape this trap.
1096	Lana Hipburn	Lana is a top model but all she wants to find a rich man to marry but has always been a hopeless romantic at heart.
1097	James Quest	James is a brilliant artist who never really knew how to make money. He has found a rich woman to live off of, but he is missing something in life.
1098	Rachel Moore	Rachel lives upstairs to Lana, her constant swing dancing keeps Lana up at night and have a tense and heated relationship.
1099	Charlie Gripe	Charlie is a doctor that lives in the building that wants nothing to do with the drama happening above him in the apartment building.
1100	Jimmy Gonzales	Jimmy is a lawyer who works from home. He is a serious man but a bit bored with his life. Could a young lovely woman change that?
1101	Mary Bofer	Mary is a stunning blonde recently arrived in New York. She is looking to make friends and have a good time.
1102	Oscar Kale	Oscar is a greedy love doctor who sets Jimmy up with Mary. He just wants Jimmy's marriage to end.
1103	Ram Voltage	Ram is a professional hitman. He does not mind doing what it takes to complete a job, but he is looking for a way out.
1104	Harry J. Lickson	Harry is another ruthless hitman. He dreams of packing his bags and going off to Amsterdam.
1105	Rufus Jones	Rufus is the baddest criminal in town. The one thing he cares about more than his wife is his money.
1106	Themla Brice	A college student who has made a few foolish choices having landing her right in the middle of a gang, hitmen and a robbery.
1107	John Clandscent	A career bank robber, when his heist is stolen from him, he goes on a warpath to get his revenge and his money back.
1108	Hugh Carlino	Hugh is a young, hopeless club owner who believes and problem can be solved by the power of true love.
1109	Nicolette Dharma	Nicolette is a seductive cabaret dancer at a famous Paris nightclub. She is cynical and does not believe in true love, only cold, hard cash.
1110	Vincent Cass	Vincent is a teenager smitten with Nicolette and helps her get things done around the city that she's not supposed to do.
1111	Ricardo Pliuto	Ricardo is a rival club owner who has a healthy competitive relationship with Hugh.
1112	Jerome Mazet	Jerome is a slimy businessman who loves to take advantage of his partners. He develops feelings for Nicolette and will stop at nothing to get her.
1113	Cade Flossing	Cade is a rock pianist with incredible skills. He is quite frustrated since most gigs he finds are mainly playing pop songs instead of true rock.
1114	Kylie Mone	Kylie is an aspiring actress who makes ends meet by working as a barista. She keeps going to auditions but is tired of being rejected.
1115	Jennifer Lister	Jennifer is a highly successful lady from London. She needs to stay in the country and will do whatever it takes to not be deported.
1116	Gary Rock	Gary is an ambitious man who decided to start working as an assistant to advance his career. He agrees to marry Jennifer to advance himself.
1117	Dwayne Victor	Dwayne is Jennifer's best friend and the one to suggest she marry an American. He'd do it himself but he's already shacked up.
1118	Charna Ilse	Charna is jealous of Jen's success and tries to get her caught by the authorities. Will she succeed?
1119	Chris Stone	Christopher is the FBI officer attached to Jennifer and Gary's marriage case. Will he uncover their plot?
1120	Jemma Bob	Jemma is a very famous Hollywood star who longs for a time where she won't be recognized constantly on the street.
1121	Hugo Bant	Hugo is a humble entrepreneur who is trying to get his bookstore going. He just wants to be like everybody else.
1122	Timmy Toned	Timmy is Hugh's awkward, journalist roommate. He is funny and lovable, but definitely not the cleanest guy around.
1123	Bert Viro	Bert is a cab driver who is growing more and more frustrated with his job. He feels he has been wronged by society and deserves more.
1124	Caleb Drake	Caleb Drake is a famous politician running for office as New York's governor. He is running on a platform to help those in need.
1125	Judy Frost	Judy is a young girl who ran away from home and has nowhere else to turn. In order to survive, she turns to criminal activities on the street.
1126	Neal Stephenson	Neal is a physicist obsessed with quantum mechanics. Despite having figured out most of the universe's secrets, he still doesn't understand love.
1127	Dr. Konrad	Dr. Konrad is quite famous in his field. He loves giving long lecture about the importance of bacteria. He wishes he was a bit cooler though.
1128	Rymon Dealio	A high IQ and a ladies man. He often puts off work to go on dates when he actually should be finishing his rocket science research.
1129	Rupert Khan	Rupert is in astronaut training not only because of his intellect but also to attract women. If only he could hold a conversation with one.
1130	Selena Craze	Selena is a beautiful singer/songwriter. She has just moved to the city to make a name for herself.
1131	Gordon Growle	Gordon is a sheriff who really enjoys the outdoors. Nothing makes him happier than riding on horseback through the plains.
1132	Jude Bale	Jude is a farmer used to working hard on the fields each and every day. Despite all the work, he feels unhappy in life.
1133	Farah Growle	Farah is Gordon's wife. She is unhappy in her marriage but doesn't want to be shunned by her friends. She notices something is wrong.
1134	Ada Willis	Ada is Jude's wife. She knows he is hiding a secret but not sure exactly what it is.
1135	Victor Trope	Victor is a tourist who is looking for some excitement in his life. He has recently broken up with his girlfriend and feels vulnerable.
1136	Jenna Harrison	Jenna is a young woman who now works as a bird watcher. She had an accident a few years ago and cannot remember anything.
1137	Garrett Manning	Garret is Jenna's best friend and extremely protective of her. He hopes she will find her way despite her terrible condition.
1138	Harry Harrison	Harry is Jenna's father and very protective of his daughter. He wants her to have a life but doesn't know how to give it to her.
1139	Gene Dole	Gene is a busy office worker who never takes a moment to think or appreciate life. He needs to be reminded of how beautiful things are.
1140	Rover	Rover is a dog that has almost than human like qualities and in fact is probably a better companion than most human beings.
1141	Betty Dole	Betty is Gene's wife. She is worried about how busy her husband is but notices a noticeable improvement when he brings home a dog.
1142	Carry Grant	Carry is a housewife but longs for more excitement. She has always had feelings for girls but never acted them out.
1143	Dariah Monson	Dariah is a confident woman who is comfortable in her skin. When she starts falling for Carry, she is challenged by her conservative feelings.
1144	Duke Fitz	Duke is Carry's neighbour and knows something is going on when she notices a visitor coming in and out at weird times.
