int	int	int	string	int	string	int
id	颁奖类型	发言人类型	说话内容	气泡持续时间（毫秒）	播放动作	动作持续时间（毫秒）
id	oscar_type	compere_type	zh_cn_content	content_duration	act	act_duration
1001	1	1	大家心目中最佳男演员的人选是谁呢~	3000		
1002	1	2	获得本奖项提名的有	3000		
1003	1	2	{0}	1000		
1004	1	1	{1}	1000		
1005	1	2	{2}	1000		
1006	1	1	{3}	1000		
1007	1	2	{4}	1000		
1008	1	1	我觉得{0}是本奖项最有力的竞争者！	3000		
1009	1	2	{2}获奖才是众望所归！	3000		
1010	1	1	那么，最终获奖者为	2000		
1011	1	2	大屏幕上最终出现的得奖者名字会是谁呢	2000		
1012	1	1	{5}	1000		
1013	1	2	我的眼光果然没错！	2000		
1014	1	3	{0}	5000		
1015	1	2	我就知道一定会是你！	2000		
1016	1	3	太棒了！获奖消息在推特上的转发量瞬间就破万了！	3000		
2001	2	1	接下来即将揭晓的是同样万众瞩目的最佳女演员~	5000		
2002	2	2	获得本奖项提名的有	3000		
2003	2	2	{0}	1000		
2004	2	1	{1}	1000		
2005	2	2	{2}	1000		
2006	2	1	{3}	1000		
2007	2	2	{4}	1000		
2008	2	1	这奖肯定要颁给{0}吧	3000		
2009	2	2	{2}不得奖简直天理难容	3000		
2010	2	1	那么，最终获奖者为	2000		
2011	2	2	大屏幕上最终出现的得奖者名字会是谁呢	2000		
2012	2	1	{5}	1000		
2013	2	2	这是一个没有悬念的结果	2000		
2014	2	3	{0}	5000		
2015	2	2	毫无争议，实至名归	2000		
2016	2	3	天哪我简直比自己拿奖还要激动！	3000		
3001	3	1	现在让我们看看获得最佳表演电影提名的影片	5000		
3002	3	2	获得本奖项提名的有	3000		
3003	3	1	{0}	1000		
3004	3	2	{1}	1000		
3005	3	1	{2}	1000		
3006	3	2	{3}	1000		
3007	3	1	{4}	1000		
3008	3	2	这个名单我是服气的	3000		
3009	3	1	{3}的光芒太耀眼啦，其他公司根本不是对手	2000		
3010	3	2	这都飞龙骑脸了不可能输！	2000		
3011	3	1	让我们看看这个奖项最终花落谁家~	4000		
3012	3	2	让我们屏住呼吸等待大屏幕上出现的结果	5000		
3013	3	1	{5}！	2000		
3014	3	2	是它，就是它！	1000		
3015	3	3	{0}	3000		
3016	3	2	那么，让我们进入下一环节	3000		
3017	3	3	今天的头条就要被我们承包了~	2000		
4001	4	1	大家所关注的最佳艺术电影马上就要揭晓啦~	5000		
4002	4	2	获得本奖项提名的有	3000		
4003	4	2	{0}	1000		
4004	4	1	{1}	1000		
4005	4	2	{2}	1000		
4006	4	1	{3}	1000		
4007	4	2	{4}	1000		
4008	4	1	{0}应该会成为最大赢家	3000		
4009	4	2	我觉得{2}是最符合这个奖项的	3000		
4010	4	1	究竟谁会获奖呢？谜底马上就要揭晓啦~	2000		
4011	4	2	请大家注意看大屏幕！	2000		
4012	4	1	{5}	1000		
4013	4	2	我疯狂打Call！	2000		
4014	4	3	{0}	5000		
4015	4	2	这才对嘛！	2000		
4016	4	3	这电影真的太好看了真的！吃我安利！	3000		
5001	5	1	好了，接下来让我们看看最受欢迎电影的提名	5000		
5002	5	2	获得本奖项提名的有	3000		
5003	5	1	{0}	1000		
5004	5	2	{1}	1000		
5005	5	1	{2}	1000		
5006	5	2	{3}	1000		
5007	5	1	{4}	1000		
5008	5	2	我相信我的选择！	3000		
5009	5	1	{3}天下无敌！	2000		
5010	5	2	求别立flag	2000		
5011	5	1	几部电影的粉丝们都很激动呢，究竟谁会捧走奖杯呢？	4000		
5012	5	2	本次的获奖电影就是——请看大屏幕！	5000		
5013	5	1	{5}！	2000		
5014	5	2	优秀优秀	1000		
5015	5	3	{0}	3000		
5016	5	2	那么，让我们进入下一环节	3000		
5017	5	3	不管你是谁，只要你喜欢这部电影，我们就是一辈子的好朋友！	2000		
