int	string	string	string	string
id	名称	简介	任务完成简介	内容
id	name	info	cinfo	content
1100	Build a Cinema	We need to be able to screen the movies we produce to audiences	Our Cinema is ready, now let's make a film for it!	Main Task
1101	Build a Film Studio	In order to shoot that first movie, we'll need a Film Studio	Our studio is ready! Time to get a real movie made!	Main Task
1102	Shoot your first movie	The first film we make will set the tone of our company. It needs to be excellent!	Your crew spent countless hours creating a movie that will truly blow audiences away! Congratulations on this first success!	Main Task
1103	Collect your movie earnings	Once a movie starts screening, it will generate continuous revenue. Have a look!	Movie earnings come from being screened in various locations, as well asmerchandise, licensing fees, and so on. It's an important source of income, so make sure to collect them in time!	Main Task
1104	Build a Green Room	Rock helped us out with this guest appearance, but we can't rely on him from now on. We need to build a Green Room in order to recruit more actors.	Now that we have our own Green Room, we can manage many actors directly!	Main Task
1105	Hire a new actor	With more actors we can cover more screenplay and types of roles, which will certainly benefit the company!	That's one problem solved! I believe as we grow stronger, more and more talented actors will want to join us!	Main Task
1106	Upgrade an actor to level 10	Your actors are talented, but need your guidance Help them improve their abilities to make great movies!	An actor's ability will greatly enhance the quality of your movies, so do not forget to upgrade them regularly!	Main Task
1107	Build a Marketing Department	We can't just make movies in a vacuum In order to be successful, we need a deeper understanding of the market	By understanding the market more clearly, we will be able to create higher earning movies and improve our reputation!	Main Task
1108	Advertise at the Walk of Fame	Even quality movies need good marketing! We have to be pro-active if we want to increase our exposure	Starting with this one street, we can now begin to share our movie with the people of the entire city	Main Task
1109	Upgrade Marketing Departmen to level 2	Upgrading the Marketing Department will improve our understanding of the market and allow us to make more informed decisions about our strategy	Upgrading the Marketing Department will greatly improve our strategy and help promote movies!	Main Task
1110	Increase movie buzz twice	While a movie is screening, increasing buzz surrounding the movie will increase earnings!	Keep increasing buzz to maximize our revenue!	Main Task
1111	Advertise at Universal Studios Hollywood	The first street marketing campaign was good but let's spread even more influence!	Each part of town will have different reactions to different spokespersons Pay attention to their reactions to make your advertising as efficient as possible!	Main Task
