int	string	int	int	string
id	名称	评分区间下限	评分区间上限	助手评价
id	name	score_min	scor_max	zh_cn_msg
1	媒体评分0-1	0	1	哇，这次被媒体喷的有点狠呢，只有{0}分...不过不要气馁，下次再加油！
2	媒体评分1-2	1	2	这部电影的评分只有{0}分，该不会是对手买水军故意抹黑吧？
3	媒体评分2-3	2	3	{0}分的媒体评分什么的只是浮云啦浮云…
4	媒体评分3-4	3	4	这次的电影并不太被看好呢，媒体评分是{0}分，不过评分不能决定一切！
5	媒体评分4-5	4	5	媒体反响一般，只有{0}分呢，不过也许票房表现会出乎意料也说不定哦~
6	媒体评分5-6	5	6	媒体给我们的电影打出了{0}分，评价还不错喔~
7	媒体评分6-7	6	7	这次的媒体反馈非常不错呢，达到了{0}分！ 真期待我们的票房成绩！
8	媒体评分7-8	7	8	我们的电影在各大媒体都好评如潮，综合得分达到了{0}分！真的太让人激动了！
9	媒体评分8-9	8	9	天哪，没想到有朝一日我们也能拍出评分{0}的电影，我都找不到语言来形容我的心情了！
10	媒体评分9-10	9	10	这次的电影得到了{0}分的评价，我觉得我们一定能凭它横扫奥斯卡！
